No,Area,Cabang,Kode,Nama Toko,Jenis Toko,Alamat,Hotel VASA (Ya/Tidak),Hotel IBIS Budget (Ya/Tidak),cadangan ke … (hanya untuk toko cadangan),Kadiv Mitra 10,Jumlah orang,Nama Undangan,Meja VIP,Keterangan
103,5,JOMBANG,16L03170004,SUMBER REJO,TRO,SEDUDO,Tidak,Tidak,CADANGAN,,2,CIK MIN,,
104,5,KEDIRI,16E01010014,"KUNING LANGGENG SENTOSA, CV ",MTO,MERDEKA 124 RT 002 RW 004 KAUMAN,Ya,Tidak,,,2,ERIK,,
105,5,KEDIRI,16E01020015,PT.DWI BANGUN PERKASA PUTRA,MTO,CEMARA 238 RT/RW : 002/002 TLUMPU,Ya,Tidak,,,2,DANIEL LIM,,
106,5,KEDIRI,16E02010081,"KARUNIA ABADI MANDIRI SENTOSA, PT",MTO,KAPTEN TENDEAN BLABAK PESANTREN,Ya (sharing),Tidak,,,1,EKO,,
107,5,KEDIRI,16E02050024,INTI KOKOH MAKMUR SEHATI. PT ,MTO,ERLANGGA GOGORANTE NGASEM,Ya (sharing),Tidak,,,1,DEDDY,,
108,5,KEDIRI,16E04010023,HERO / CV HUTAMA BANGUN SEJAHTERA,MTO,PANGERAN DIPONEGORO 133 A,Ya,Tidak,,,2,HERU & YULIAWATI,,
109,5,KEDIRI,16E04070006,ROMO WIJOYO PUTRO,TRO,TANJUNG KALIDAWIR,Ya,Tidak,,,2,GATUT SUNU WIBOWO,,
110,5,KEDIRI,16E04180015,"MITRA MEGAH BANGUNAN ABADI, PT",MTO,RAYA SUMBERGEMPOL DSN GEMPOL 100A,Ya,Tidak,,,2,DENY,,
111,5,MADIUN,16B01040018,MAJU (CV. MAJU BESI),MTO,COKROAMINOTO 28,Ya,Tidak,,,2,HENI YOSHIKA (CI SIU),,
112,5,MADIUN,16B01040061,"NEO COLOUR, CV",TRO,TRUNOJOYO 167,Ya,Tidak,,,2,YOGIANTO CHONDRO,,
113,5,MADIUN,16B01060004,SUCCESS WAREHOUSE,MTO,RAYA NGLAMES KM 5-TIRON,Tidak,Tidak,,,2,ELI,,
114,5,MADIUN,16B03010034,"BIMA ABADI SENTOSA, CV",TRO,KALPATARU,Ya,Tidak,,,2,HERU,,
115,5,MADIUN,16B04010004,BAJA JAYA,TRO,GATOT SUBROTO 22,Ya,Tidak,,,2,SUJITNO SUBROTO,,
116,5,MADURA,16J02050011,KURNIA,TRO,RAYA KETAPANG (DPN SMP 1),Ya,Tidak,,,2,H. MARSAT,,
117,5,MADURA,16J02060002,SINAR JAYA (SOKOBANAH),TRO,DPN PASAR TAMBERU,Ya,Tidak,,,2,FATHOR ROHMAN SAIM,,
118,5,MADURA,16J03010023,MERDEKA,TRO,TRUNOJOYO 88,Ya,Tidak,,,2,FARID SANTOSO,,
119,5,MALANG,16F01010003,SUMBER BANGUNAN,TRO,TIMUR SMPN AMPELGADING,Ya,Tidak,,,2,EDY PURWANTO,,
120,5,MALANG,16F01150016,OGAN (CV. GAWE JOYO),TRO,BONDOWOSO 29,Ya,Tidak,,,2,ONG LINKI,,
